"ShortSourceA","category","Encounter","Location","Project","Recording","Species","SamplingRate","SELECTIONNUMBER","FREQMAX","FREQMIN","DURATION","FREQBEG","FREQEND","FREQRANGE","DCMEAN","DCSTDDEV","FREQMEAN","FREQSTDDEV","FREQMEDIAN","FREQCENTER","FREQRELBW","FREQMAXMINRATIO","FREQBEGENDRATIO","FREQQUARTER1","FREQQUARTER2","FREQQUARTER3","FREQSPREAD","DCQUARTER1MEAN","DCQUARTER2MEAN","DCQUARTER3MEAN","DCQUARTER4MEAN","FREQCOFM","FREQSTEPUP","FREQSTEPDOWN","FREQNUMSTEPS","FREQSLOPEMEAN","FREQABSSLOPEMEAN","FREQPOSSLOPEMEAN","FREQNEGSLOPEMEAN","FREQSLOPERATIO","FREQBEGSWEEP","FREQBEGUP","FREQBEGDWN","FREQENDSWEEP","FREQENDUP","FREQENDDWN","NUMSWEEPSUPDWN","NUMSWEEPSDWNUP","NUMSWEEPSUPFLAT","NUMSWEEPSDWNFLAT","NUMSWEEPSFLATUP","NUMSWEEPSFLATDWN","FREQSWEEPUPPERCENT","FREQSWEEPDWNPERCENT","FREQSWEEPFLATPERCENT","NUMINFLECTIONS","INFLMAXDELTA","INFLMINDELTA","INFLMAXMINDELTA","INFLMEDIANDELTA","INFLMEANDELTA","INFLSTDDEVDELTA","INFLDUR","STEPDUR"
"CTR-33-20170913T222635-AD259_S123_Sb.ctr'",20,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:26:35","Steno bredanensis",5e+05,33,8483.88671875,7934.5703125,0.369,7934.5703125,8483.88671875,549.31640625,0.876876337990404,0.208597931416755,8152.17391304348,83.0438811414007,8117.67578125,8209.228515625,0.0669144981412639,1.06923076923077,0.935251798561151,8117.67578125,8117.67578125,8178.7109375,61.03515625,0.861044005296773,0.795804851253128,0.933428005452976,0.92603792808882,0.042724609375,0,0,0,1488.20288387346,1488.20288387346,8371.1412217882,0,0,2,1,0,2,1,0,1,0,2,0,2,0,39.2857142857143,30.3571428571429,30.3571428571429,1,0,0,0,0,0,0,0,0
"CTR-4-20020911T165808-s167.ctr'",20,"s167","Hawaii","HICEAS2002","2002-09-11 16:58:08","Steno bredanensis",150000,4,8276.3671875,5493.1640625,0.62,5493.1640625,8203.125,2783.203125,0.510421637676439,0.159757496163359,7987.37899116848,485.02786409798,8129.8828125,6884.765625,0.404255319148936,1.50666666666667,0.669642857142857,7910.15625,8276.3671875,8056.640625,238.037109375,0.601469799595905,0.408662338436259,0.461265866640681,0.568871216325502,0.205078125,0,0,0,4527.33301854396,5217.21233565542,31669.772401148,-10463.1696428571,-3.02678571428572,2,1,0,1,0,0,1,0,4,3,4,3,38.5321100917431,32.1100917431193,29.3577981651376,3,0.158,0.122,1.29508196721311,0.14,0.14,0.0254558441227157,4.83870967741935,0
"CTR-4-20170904T171438-AD95_S44_Sb.ctr'",20,"AD95_S44_Sb","Hawaii","HICEAS2017","2017-09-04 17:14:38","Steno bredanensis",5e+05,4,8422.8515625,6958.0078125,0.966,8056.640625,6958.0078125,1464.84375,0.772843612296562,0.231615222905343,7985.56170886076,278.413670107352,8056.640625,7690.4296875,0.19047619047619,1.21052631578947,1.15789473684211,7934.5703125,8056.640625,7690.4296875,488.28125,0.827017383364792,0.816429388757696,0.681446165039122,0.765563312515007,0.23193359375,0,0,0,-1129.32280632062,3456.93469721045,68664.55078125,-31834.0226715686,-2.15695488721805,2,1,0,0,0,1,0,1,2,14,0,16,32.120253164557,36.3924050632911,31.4873417721519,3,0.187,0.02,9.35,0.1035,0.1035,0.118086832458153,3.1055900621118,0
"CTR-4-20170904T174438-AD95_S44_Sb.ctr'",20,"AD95_S44_Sb","Hawaii","HICEAS2017","2017-09-04 17:44:38","Steno bredanensis",5e+05,4,8666.9921875,6835.9375,0.799,7812.5,6835.9375,1831.0546875,0.721215641461735,0.318118249166942,8219.19343909439,290.906626419909,8300.78125,7751.46484375,0.236220472440945,1.26785714285714,1.14285714285714,8422.8515625,8056.640625,8300.78125,244.140625,0.749994633818314,0.778699352048869,0.775532443764493,0.577107834181868,0.439453125,1,0,1,-1241.56984508547,6124.38234508547,47607.421875,-37798.9651864035,-1.25949008498584,2,1,0,0,0,1,1,1,4,7,3,8,33.3333333333333,36.40081799591,30.2658486707566,5,0.311,0.004,77.75,0.172,0.16475,0.125993055364175,6.25782227784731,1.25156445556946
"CTR-5-20170913T222335-AD259_S123_Sb.ctr'",20,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:23:35","Steno bredanensis",5e+05,5,8544.921875,7751.46484375,0.5,7751.46484375,8544.921875,793.45703125,0.500831163144379,0.128310750266431,8117.67578125,131.696524268162,8117.67578125,8148.193359375,0.0973782771535581,1.10236220472441,0.907142857142857,8178.7109375,8056.640625,8056.640625,122.0703125,0.410899309326938,0.498911855263957,0.556170410953633,0.543466487812847,0.079345703125,0,0,0,1588.21639994796,2088.50456593156,8009.99924709467,-7629.39453125,-1.04988662131519,2,1,0,2,1,0,1,0,3,2,3,2,41.1764705882353,30.8823529411765,27.9411764705882,3,0.23,0.098,2.3469387755102,0.164,0.164,0.0933380951166243,6,0
"CTR-59-20170913T220035-AD259_S123_Sb.ctr'",20,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:00:35","Steno bredanensis",5e+05,59,11047.36328125,7934.5703125,0.328,11047.36328125,9521.484375,3112.79296875,0.375256465198202,0.130843152564871,8742.91396722561,995.619837632905,8178.7109375,9490.966796875,0.327974276527331,1.39230769230769,1.16025641025641,9460.44921875,8117.67578125,7934.5703125,1464.84375,0.395636724438146,0.338473641821924,0.310713050572081,0.454164418036662,0.35400390625,0,0,0,-4240.97454737103,15206.7154172867,73104.9391327712,-17679.7181496888,-4.13496066587791,0,0,1,2,1,0,1,0,1,4,2,3,21.8181818181818,63.6363636363636,14.5454545454545,4,0.026,0.015,1.73333333333333,0.025,0.022,0.00608276253029822,12.1951219512195,0
"CTR-6-20020911T161534-s167.ctr'",20,"s167","Hawaii","HICEAS2002","2002-09-11 16:15:34","Steno bredanensis",150000,6,8496.09375,7031.25,0.575,7031.25,8496.09375,1464.84375,0.587677372545042,0.121746504027437,8028.20542279412,310.554055523603,8129.8828125,7763.671875,0.188679245283019,1.20833333333333,0.827586206896552,7983.3984375,8203.125,7983.3984375,292.96875,0.515555018970833,0.609336331119883,0.647519134532556,0.581733403346143,0.19775390625,0,0,0,2579.46196056548,3835.45752285289,11226.1090959821,-10550.3627232143,-1.06404958677686,2,1,0,1,0,0,1,0,8,4,8,4,48.993288590604,28.8590604026846,22.1476510067114,3,0.185,0.151,1.22516556291391,0.168,0.168,0.0240416305603426,5.21739130434783,0
"CTR-6-20170913T222335-AD259_S123_Sb.ctr'",20,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 22:23:35","Steno bredanensis",5e+05,6,8300.78125,7019.04296875,0.631,7690.4296875,7019.04296875,1281.73828125,0.555192303968803,0.165015195562466,7998.73547676282,184.788077586739,7995.60546875,7659.912109375,0.167330677290837,1.18260869565217,1.09565217391304,7995.60546875,7995.60546875,7995.60546875,0,0.563845434092827,0.542938025950236,0.462872993364832,0.651302296567031,0.09765625,0,0,0,-1067.89504982864,2961.48214849387,8100.34481095679,-25855.1703559028,-0.313296903460838,2,1,0,0,0,1,0,0,2,0,1,1,37.2340425531915,32.9787234042553,29.7872340425532,1,0,0,0,0,0,0,0,0
"CTR-1-20170903T232855-AD250_S111_Sb.ctr'",20,"AD250_S111_Sb","Hawaii","HICEAS2017","2017-09-03 23:28:55","Steno bredanensis",5e+05,1,8728.02734375,7202.1484375,0.385,7202.1484375,8666.9921875,1525.87890625,0.433841466102126,0.109726716773734,7914.22526041667,588.848557136073,7568.359375,7965.087890625,0.191570881226054,1.21186440677966,0.830985915492958,7568.359375,7446.2890625,8728.02734375,1159.66796875,0.439948088513414,0.436095316451089,0.428193714945879,0.430326985951276,0.189208984375,1,0,1,3511.94351438492,4820.87037081011,24477.6407877604,-7689.94528149802,-3.18307086614173,2,1,0,1,0,0,0,0,4,2,4,3,39.5833333333333,34.375,26.0416666666667,3,0.074,0.073,1.01369863013699,0.0735,0.0735,0.000707106781186548,7.79220779220779,2.5974025974026
"CTR-105-20170913T215835-AD259_S123_Sb.ctr'",20,"AD259_S123_Sb","Hawaii","HICEAS2017","2017-09-13 21:58:35","Steno bredanensis",5e+05,105,7690.4296875,7446.2890625,0.689,7446.2890625,7690.4296875,244.140625,0.983073867211786,0.319792095374218,7644.92418639053,86.0670900776473,7690.4296875,7568.359375,0.032258064516129,1.0327868852459,0.968253968253968,7690.4296875,7690.4296875,7690.4296875,0,1.07116755570504,0.967201131126269,0.968885553588044,0.922943759654144,0.0244140625,0,0,0,290.643601190476,290.643601190476,24414.0625,0,0,1,0,0,1,0,0,0,0,2,0,2,1,33.8742393509128,33.0628803245436,33.0628803245436,1,0,0,0,0,0,0,0,0
